,context,questions,answers
0,"There
are
upwards
of
1,700
homeless
young
people
in
Alameda
County,
and
less
than
36
youth-designated
beds
in
shelters
and
affordable
housing.
Young
people
facing
housing
instability
have
overwhelmingly
experienced
abuse,
neglect,
and
mental
and
physical
health
obstacles,
and
lack
access
to
public
resources.
They
may
have
difficulty
pursuing
academic
and
vocational
goals,
and
face
life-threatening
challenges
and
risks.","1. How many homeless young people are in Alameda County?
2. How many youth-designated beds are in shelters and affordable housing?
3. What are some of the obstacles that homeless young people face?
4. What are some of the risks that homeless young people face?","1. There are upwards of 1,700 homeless young people in Alameda County.
2. There are less than 36 youth-designated beds in shelters and affordable housing.
3. Homeless young people face abuse, neglect, and mental and physical health obstacles, and lack access to public resources.
4. Homeless young people may have difficulty pursuing academic and vocational goals, and face life-threatening challenges and risks."
1,"Being
homeless,
even
for
a
short
period,
can
start
a
cascade
of
individual
and
social
tragedies
that
can
be
difficult
to
overcome.
Our
youth
are
the
key
to
our
future,
and
we
believe
that
our
community
has
a
responsibility
to
support
them.
By
providing
underserved
homeless
and
low-income
young
people
a
stable
home,
educational
opportunities,
and
job
training,
we
can
break
the
cycle
of
homelessness.","1. What are the consequences of being homeless?
2. What is the cycle of homelessness?
3. What are the benefits of breaking the cycle of homelessness?","1. The consequences of being homeless can be difficult to overcome. They can include individual and social tragedies such as joblessness, poverty, and homelessness itself.
2. The cycle of homelessness can be difficult to break. It can include a cascade of individual and social tragedies that can be difficult to overcome.
3. The benefits of breaking the cycle of homelessness can be significant. They can include a stable home, educational opportunities, and job training. This can help break the cycle of homelessness and improve the future for homeless and low-income young people."
2,"Youth
Spirit
Artworks
(YSA)
is
a
17-year
old
interfaith
job
training
non-profit
committed
to
empowering
and
transforming
the
lives
of
homeless
and
underserved
low-income
Bay
Area
youth,
ages
16-25.
YSA’s
youth-led
efforts
provide
innovative
jobs
training
and
placement
and
engage
youth
as
leaders
in
community
revitalization.
Since
2007,
more
than
700
homeless
and
low-income
youth
have
participated
in
YSA
programs
and
more
than
500
program
graduates
have
gone
on
to
receive
a
high
school
diploma,
enter
college,
begin
work,
or
become
employed
by
YSA.","1. What is the goal of Youth Spirit Artworks?
2. How many people have participated in Youth Spirit Artworks programs?
3. What are the long-term goals of Youth Spirit Artworks?","1. The goal of Youth Spirit Artworks is to empower and transform the lives of homeless and underserved low-income Bay Area youth, ages 16-25.
2. More than 700 homeless and low-income youth have participated in Youth Spirit Artworks programs.
3. The long-term goals of Youth Spirit Artworks are to provide innovative jobs training and placement and engage youth as leaders in community revitalization."
3,"Housing
Consortium
of
the
East
Bay
(HCEB),
YSA's
property
management
partner,
is
a
well-established
non-profit
organization
whose
mission
is
to
partner
with
nonprofit
and
for-profit
agencies
to
develop
affordable
housing
and
inclusive
communities
for
individuals
with
developmental
disabilities
and
other
special
needs.
HCEB
has
been
doing
this
work
in
Alameda
and
Contra
Costa
Counties
since
1996
and
manages
numerous
housing
programs,
working
in
partnership
with
individuals,
their
families,
and
service
providers.","1. What is the Housing Consortium of the East Bay's mission?
2. What counties does the Housing Consortium of the East Bay operate in?
3. What types of housing does the Housing Consortium of the East Bay manage?
4. Who are the Housing Consortium of the East Bay's partners?","1. The Housing Consortium of the East Bay's mission is to partner with nonprofit and for-profit agencies to develop affordable housing and inclusive communities for individuals with developmental disabilities and other special needs.
2. The Housing Consortium of the East Bay operates in Alameda and Contra Costa Counties.
3. The Housing Consortium of the East Bay manages numerous housing programs, working in partnership with individuals, their families, and service providers.
4. The Housing Consortium of the East Bay's partners include nonprofit and for-profit agencies."
4,"Eight
years
ago,
the
youth
in
YSA's
program
identified
the
lack
of
stable
and
affordable
housing
in
the
Bay
Area
as
the
number-one
obstacle
they
had
in
meeting
their
goals.
They
engaged
in
a
vision
exercise
and
reported
that
stable
housing,
consistent
access
to
services,
and
the
support
of
a
peer-driven
community
could
break
the
cycle
of
homelessness.
Their
vision
led
to
the
development
of
a
plan
for
a
Tiny
House
Village,
designed
with
supporting
services
and
amenities.
We
are
proud
to
announce
that
this
vision
has
been
made
a
reality.","1. What was the number-one obstacle the youth in YSA's program identified in meeting their goals?
2. What did the vision exercise lead to?
3. What is the Tiny House Village designed with?","1. The number-one obstacle the youth in YSA's program identified in meeting their goals was the lack of stable and affordable housing in the Bay Area.
2. The vision exercise led to the development of a plan for a Tiny House Village, designed with supporting services and amenities.
3. The Tiny House Village is designed with stable housing, consistent access to services, and the support of a peer-driven community."
5,"Addressing
the
homeless
crisis,
especially
in
the
Bay
Area,
requires
fresh
approaches
and
innovative
thinking.
To
meet
that
challenge,
the
Tiny
House
Empowerment
Village
project
was
built
in
phases.","1. What is the Tiny House Empowerment Village project?
2. What challenges does it address?
3. How was it built?","1. The Tiny House Empowerment Village project is a program that addresses the homeless crisis, especially in the Bay Area.
2. It addresses the challenge by providing innovative solutions, such as the use of tiny houses.
3. The project was built in phases, with the first phase consisting of 10 tiny houses."
6,"This
text
explains
the
phases
of
the
Tiny
House
Empowerment
Village
project.
The
first
phase
was
prototype
builds.
In
March
and
April
of
2019,
the
YSA
youth
team,
led
by
former
West
Coast
Regional
Manager
of
Habitat
for
Humanity
Rolf
Bell,
partnered
with
skilled
Build
Leaders
from
the
community
to
construct
the
first
two
houses.
These
houses
served
as
vehicles
for
training
and
prototypes
for
future
builds.
The
second
phase
was
community
builds.
In
summer
and
fall
of
2019,
over
500
volunteers
from
the
interfaith
religious
community
came
together
in
Habitat
for
Humanity-style
build
days
to
complete
twelve
more
houses.
Throughout
2020,
volunteers
from
the
community
built
12
more
houses,
resulting
in
a
total
of
26
completed
Tiny
Houses.
The
third
phase
was
mural
creation.
The
Tiny
Houses
have
been
painted
with
murals
designed
and
created
by
local
community
artists
and
by
youth
artists
with
the
help
of
adult
artist
mentors.
By
opening
day,
all
26
houses
will
have
completed
murals,
resulting
in
a
mobile
mural
garden
of
tiny
houses
on
wheels.
The
fourth
phase
was
moving
people
in.
In
February
of
2021,
22
youth
and
4
Resident
Assistants
will
move
into
the
Village.
The
Village
will
also
feature
two
community
yurts
with
a
kitchen
and
meeting
space,
and
on-site
communal
bathrooms
and
showers.
The
final
stage
is
growth.
To
address
the
long-term
need
for
affordable,
permanent
housing,
YSA
has
committed
to
a
“100
Homes
for
100
Homeless
Youth”
campaign
over
the
next
ten
years
through
additional
Tiny
House
Villages
and
other
models
of
affordable
housing.","1. What was the first phase of the Tiny House Empowerment Village project?
2. What was the second phase of the Tiny House Empowerment Village project?
3. What was the third phase of the Tiny House Empowerment Village project?
4. What was the fourth phase of the Tiny House Empowerment Village project?
5. What was the fifth and final stage of the Tiny House Empowerment Village project?","1. The first phase of the Tiny House Empowerment Village project was prototype builds.
2. The second phase of the Tiny House Empowerment Village project was community builds.
3. The third phase of the Tiny House Empowerment Village project was mural creation.
4. The fourth phase of the Tiny House Empowerment Village project was moving people in.
5. The fifth and final phase of the TIny House Empowement Village project is growth: we plan to reach 100 homes for 100 homeless youth in the next 10 years."
7,"Tiny
Houses
are
a
common
sense
solution
to
the
housing
crisis.
Tiny
houses
are
quick,
inexpensive,
and
easy
to
assemble,
movable
and
adaptable,
compatible
with
the
Habitat
for
Humanity
community
build
model,
and
replicable
across
location
and
need","1. What are tiny houses?
2. What are the benefits of tiny houses?
3. How are tiny houses a solution to the housing crisis?
","1. Tiny houses are small, movable houses that are quick, easy, and inexpensive to assemble.
2. The benefits of tiny houses are that they are quick and easy to assemble, movable, and adaptable.
3. Tiny houses are a solution to the housing crisis because they are quick, easy, and inexpensive to assemble, and they are compatible with the Habitat for Humanity community build model."
8,"The
Tiny
House
Empowerment
Village
is
operated
as
transitional-aged
youth
(TAY)
emergency
shelter
following
guidance
provided
by
the
City
of
Oakland's
emergency
shelter
ordinance
and
Oakland's
""community
cabins""
program.
Its
Covenant
allows
young
people
to
stay
a
maximum
of
two
years
or
until
youth
are
placed
into
permanent
housing.
The
youth
in
the
Village
are
fully
integrated
into
Youth
Spirit
Artworks’
existing
job
training
program,
where
they
can
access
wrap-around
social
services
and
case
management
at
YSA.
Over
two
years,
the
Village
transitions
youth
from
homelessness/unstable
housing
to
financial
self-sufficiency
and
stability.","1. What is the Tiny House Empowerment Village?
2. What is the Village's Covenant?
3. How long can youth stay in the Village?
4. How are the youth in the Village integrated into Youth Spirit Artworks' job training program?
5. What are the goals of the Village?","1. The Tiny House Empowerment Village is a transitional-aged youth emergency shelter following guidance provided by the City of Oakland's emergency shelter ordinance and Oakland's ""community cabins"" program.
2. The Village's Covenant allows young people to stay a maximum of two years or until youth are placed into permanent housing.
3. Youth can stay in the Village for a maximum of two years or until they are placed into permanent housing.
4. The youth in the Village are integrated into Youth Spirit Artworks' existing job training program, where they can access wrap-around social services and case management at YSA.
5. The goals of the Village are to transition youth from homelessness/unstable housing to financial self-sufficiency and stability."
9,"Since
2019,
Youth
Spirit
Artworks
has
raised
over
$210,000
for
tiny
house
construction
from
individual
donors,
private
foundations,
and
corporations.
It
has
raised
$360,000
in
ongoing
operating
funds
for
the
Village
from
the
City
of
Oakland.
We
are
working
to
raise
$100,000
in
Case
Management
funds
from
the
City
of
Berkeley.","1. How much money has Youth Spirit Artworks raised for tiny house construction?
2. How much money has Youth Spirit Artworks raised in ongoing operating funds for the Village?
3. How much money does Youth Spirit Artworks need to raise in Case Management funds from the City of Berkeley?","1. Youth Spirit Artworks has raised over $210,000 for tiny house construction from individual donors, private foundations, and corporations.
2. Youth Spirit Artworks has raised $360,000 in ongoing operating funds for the Village from the City of Oakland.
3. Youth Spirit Artworks needs to raise $100,000 in Case Management funds from the City of Berkeley."
